USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0 12534340  2996 0                   0 S init
root             2     0       0      0 0                   0 S [kthreadd]
root             6     2       0      0 0                   0 I [mm_percpu_wq]
root             7     2       0      0 0                   0 S [ksoftirqd/0]
root             8     2       0      0 0                   0 I [rcu_preempt]
root             9     2       0      0 0                   0 I [rcu_sched]
root            10     2       0      0 0                   0 I [rcu_bh]
root            11     2       0      0 0                   0 S [migration/0]
root            12     2       0      0 0                   0 D [tz_worker_threa]
root            13     2       0      0 0                   0 I [sec_audio_dbg_s]
root            14     2       0      0 0                   0 S [watchdog/0]
root            15     2       0      0 0                   0 S [cpuhp/0]
root            16     2       0      0 0                   0 S [cpuhp/1]
root            17     2       0      0 0                   0 S [watchdog/1]
root            18     2       0      0 0                   0 D [tz_worker_threa]
root            19     2       0      0 0                   0 S [migration/1]
root            20     2       0      0 0                   0 S [ksoftirqd/1]
root            23     2       0      0 0                   0 S [cpuhp/2]
root            24     2       0      0 0                   0 S [watchdog/2]
root            25     2       0      0 0                   0 D [tz_worker_threa]
root            26     2       0      0 0                   0 S [migration/2]
root            27     2       0      0 0                   0 S [ksoftirqd/2]
root            30     2       0      0 0                   0 S [cpuhp/3]
root            31     2       0      0 0                   0 S [watchdog/3]
root            32     2       0      0 0                   0 D [tz_worker_threa]
root            33     2       0      0 0                   0 S [migration/3]
root            34     2       0      0 0                   0 S [ksoftirqd/3]
root            37     2       0      0 0                   0 S [cpuhp/4]
root            38     2       0      0 0                   0 S [watchdog/4]
root            39     2       0      0 0                   0 D [tz_worker_threa]
root            40     2       0      0 0                   0 S [migration/4]
root            41     2       0      0 0                   0 S [ksoftirqd/4]
root            44     2       0      0 0                   0 S [cpuhp/5]
root            45     2       0      0 0                   0 S [watchdog/5]
root            46     2       0      0 0                   0 D [tz_worker_threa]
root            47     2       0      0 0                   0 S [migration/5]
root            48     2       0      0 0                   0 S [ksoftirqd/5]
root            51     2       0      0 0                   0 S [cpuhp/6]
root            52     2       0      0 0                   0 S [watchdog/6]
root            53     2       0      0 0                   0 D [tz_worker_threa]
root            54     2       0      0 0                   0 S [migration/6]
root            55     2       0      0 0                   0 S [ksoftirqd/6]
root            58     2       0      0 0                   0 S [cpuhp/7]
root            59     2       0      0 0                   0 S [watchdog/7]
root            60     2       0      0 0                   0 D [tz_worker_threa]
root            61     2       0      0 0                   0 S [migration/7]
root            62     2       0      0 0                   0 S [ksoftirqd/7]
root            65     2       0      0 0                   0 S [kdevtmpfs]
root            66     2       0      0 0                   0 I [netns]
root            71     2       0      0 0                   0 S [irq/141-158d000]
root            72     2       0      0 0                   0 S [irq/206-1590000]
root            73     2       0      0 0                   0 I [acpm_update_log]
root            75     2       0      0 0                   0 S [khungtaskd]
root            76     2       0      0 0                   0 S [oom_reaper]
root            77     2       0      0 0                   0 I [writeback]
root            78     2       0      0 0                   0 S [kcompactd0]
root            79     2       0      0 0                   0 S [ksmd]
root            80     2       0      0 0                   0 I [crypto]
root            81     2       0      0 0                   0 I [kblockd]
root            82     2       0      0 0                   0 D [scsi_srpmb_work]
root            83     2       0      0 0                   0 S [spi1]
root            84     2       0      0 0                   0 S [spi2]
root            85     2       0      0 0                   0 S [spi7]
root            86     2       0      0 0                   0 S [spi17]
root            87     2       0      0 0                   0 S [irq/274-dp-pmic]
root            88     2       0      0 0                   0 I [fw_update]
root            89     2       0      0 0                   0 S [irq/317-max7770]
